Region,City/Area,File,Businesses
East Counties,Babergh,http://ratings.food.gov.uk/OpenDataFiles/FHRS297en-GB.xml,876
East Counties,Basildon,http://ratings.food.gov.uk/OpenDataFiles/FHRS109en-GB.xml,1134
East Counties,Bedford,http://ratings.food.gov.uk/OpenDataFiles/FHRS701en-GB.xml,1316
East Counties,Braintree,http://ratings.food.gov.uk/OpenDataFiles/FHRS110en-GB.xml,1061
East Counties,Breckland,http://ratings.food.gov.uk/OpenDataFiles/FHRS227en-GB.xml,1258
East Counties,Brentwood,http://ratings.food.gov.uk/OpenDataFiles/FHRS111en-GB.xml,641
East Counties,Broadland,http://ratings.food.gov.uk/OpenDataFiles/FHRS228en-GB.xml,876
East Counties,Broxbourne,http://ratings.food.gov.uk/OpenDataFiles/FHRS155en-GB.xml,633
East Counties,Cambridge City,http://ratings.food.gov.uk/OpenDataFiles/FHRS027en-GB.xml,1318
East Counties,Castle Point,http://ratings.food.gov.uk/OpenDataFiles/FHRS112en-GB.xml,482
East Counties,Central Bedfordshire,http://ratings.food.gov.uk/OpenDataFiles/FHRS702en-GB.xml,1393
East Counties,Chelmsford,http://ratings.food.gov.uk/OpenDataFiles/FHRS113en-GB.xml,1160
East Counties,Colchester,http://ratings.food.gov.uk/OpenDataFiles/FHRS114en-GB.xml,1425
East Counties,Dacorum,http://ratings.food.gov.uk/OpenDataFiles/FHRS156en-GB.xml,1093
East Counties,East Cambridgeshire,http://ratings.food.gov.uk/OpenDataFiles/FHRS028en-GB.xml,672
East Counties,East Hertfordshire,http://ratings.food.gov.uk/OpenDataFiles/FHRS157en-GB.xml,1226
East Counties,Epping Forest,http://ratings.food.gov.uk/OpenDataFiles/FHRS115en-GB.xml,960
East Counties,Fenland,http://ratings.food.gov.uk/OpenDataFiles/FHRS029en-GB.xml,687
East Counties,Forest Heath,http://ratings.food.gov.uk/OpenDataFiles/FHRS298en-GB.xml,574
East Counties,Great Yarmouth,http://ratings.food.gov.uk/OpenDataFiles/FHRS229en-GB.xml,1001
East Counties,Harlow,http://ratings.food.gov.uk/OpenDataFiles/FHRS116en-GB.xml,572
East Counties,Hertsmere,http://ratings.food.gov.uk/OpenDataFiles/FHRS158en-GB.xml,560
East Counties,Huntingdonshire,http://ratings.food.gov.uk/OpenDataFiles/FHRS030en-GB.xml,1241
East Counties,Ipswich,http://ratings.food.gov.uk/OpenDataFiles/FHRS299en-GB.xml,1016
East Counties,King's Lynn and West Norfolk,http://ratings.food.gov.uk/OpenDataFiles/FHRS230en-GB.xml,1522
East Counties,Luton,http://ratings.food.gov.uk/OpenDataFiles/FHRS869en-GB.xml,1020
East Counties,Maldon,http://ratings.food.gov.uk/OpenDataFiles/FHRS117en-GB.xml,565
East Counties,Mid Suffolk,http://ratings.food.gov.uk/OpenDataFiles/FHRS300en-GB.xml,807
East Counties,North Hertfordshire,http://ratings.food.gov.uk/OpenDataFiles/FHRS159en-GB.xml,846
East Counties,North Norfolk,http://ratings.food.gov.uk/OpenDataFiles/FHRS231en-GB.xml,1631
East Counties,Norwich City,http://ratings.food.gov.uk/OpenDataFiles/FHRS232en-GB.xml,1524
East Counties,Peterborough City,http://ratings.food.gov.uk/OpenDataFiles/FHRS888en-GB.xml,1581
East Counties,Rochford,http://ratings.food.gov.uk/OpenDataFiles/FHRS118en-GB.xml,588
